コード,銘柄名,株価換算係数,業種,セクター
1332,ニッスイ,1.0,水産,消費
1605,ＩＮＰＥＸ,0.4,鉱業,素材
1721,コムシスホールディングス,1.0,建設,資本財・その他
1801,大成建設,0.2,建設,資本財・その他
1802,大林組,1.0,建設,資本財・その他
1803,清水建設,1.0,建設,資本財・その他
1808,長谷工コーポレーション,0.2,建設,資本財・その他
1812,鹿島建設,0.5,建設,資本財・その他
1925,大和ハウス工業,1.0,建設,資本財・その他
1928,積水ハウス,1.0,建設,資本財・その他
1963,日揮ホールディングス,1.0,建設,資本財・その他
2002,日清製粉グループ本社,1.0,食品,消費
2269,明治ホールディングス,0.4,食品,消費
2282,日本ハム,0.5,食品,消費
2413,エムスリー,2.4,サービス,消費
2432,ディー・エヌ・エー,0.3,サービス,消費
2501,サッポロホールディングス,0.2,食品,消費
2502,アサヒグループホールディングス,3.0,食品,消費
2503,キリンホールディングス,1.0,食品,消費
2768,双日,0.1,商社,素材
2801,キッコーマン,5.0,食品,消費
2802,味の素,2.0,食品,消費
2871,ニチレイ,1.0,食品,消費
2914,日本たばこ産業,1.0,食品,消費
3086,Ｊ．フロントリテイリング,0.5,小売業,消費
3092,ＺＯＺＯ,3.0,小売業,消費
3099,三越伊勢丹ホールディングス,1.0,小売業,消費
3289,東急不動産ホールディングス,1.0,不動産,資本財・その他
3382,セブン＆アイ・ホールディングス,3.0,小売業,消費
3401,帝人,0.2,繊維,素材
3402,東レ,1.0,繊維,素材
3405,クラレ,1.0,化学,素材
3407,旭化成,1.0,化学,素材
3436,ＳＵＭＣＯ,0.1,非鉄・金属,素材
3659,ネクソン,2.0,サービス,消費
3861,王子ホールディングス,1.0,パルプ・紙,素材
4004,レゾナック・ホールディングス,0.1,化学,素材
4005,住友化学,1.0,化学,素材
4021,日産化学,1.0,化学,素材
4042,東ソー,0.5,化学,素材
4043,トクヤマ,0.2,化学,素材
4061,デンカ,0.2,化学,素材
4063,信越化学工業,5.0,化学,素材
4151,協和キリン,1.0,医薬品,技術
4183,三井化学,0.2,化学,素材
4188,三菱ケミカルグループ,0.5,化学,素材
4208,ＵＢＥ,0.1,化学,素材
4307,野村総合研究所,1.0,サービス,消費
4324,電通グループ,1.0,サービス,消費
4385,メルカリ,1.0,サービス,消費
4452,花王,1.0,化学,素材
4502,武田薬品工業,1.0,医薬品,技術
4503,アステラス製薬,5.0,医薬品,技術
4506,住友ファーマ,1.0,医薬品,技術
4507,塩野義製薬,3.0,医薬品,技術
4519,中外製薬,3.0,医薬品,技術
4523,エーザイ,1.0,医薬品,技術
4543,テルモ,8.0,精密機器,技術
4568,第一三共,3.0,医薬品,技術
4578,大塚ホールディングス,1.0,医薬品,技術
4661,オリエンタルランド,1.0,サービス,消費
4689,ＬＩＮＥヤフー,0.4,サービス,消費
4704,トレンドマイクロ,1.0,サービス,消費
4751,サイバーエージェント,0.8,サービス,消費
4755,楽天グループ,1.0,サービス,消費
4901,富士フイルムホールディングス,3.0,化学,素材
4902,コニカミノルタ,1.0,精密機器,技術
4911,資生堂,1.0,化学,素材
5019,出光興産,2.0,石油,素材
5020,ＥＮＥＯＳホールディングス,1.0,石油,素材
5101,横浜ゴム,0.5,ゴム,素材
5108,ブリヂストン,1.0,ゴム,素材
5201,ＡＧＣ,0.2,窯業,素材
5214,日本電気硝子,0.3,窯業,素材
5233,太平洋セメント,0.1,窯業,素材
5301,東海カーボン,1.0,窯業,素材
5332,ＴＯＴＯ,0.5,窯業,素材
5333,日本碍子,1.0,窯業,素材
5401,日本製鉄,0.1,鉄鋼,素材
5406,神戸製鋼所,0.1,鉄鋼,素材
5411,ＪＦＥホールディングス,0.1,鉄鋼,素材
5631,日本製鋼所,0.2,機械,資本財・その他
5706,三井金属鉱業,0.1,非鉄・金属,素材
5711,三菱マテリアル,0.1,非鉄・金属,素材
5713,住友金属鉱山,0.5,非鉄・金属,素材
5714,ＤＯＷＡホールディングス,0.2,非鉄・金属,素材
5801,古河電気工業,0.1,非鉄・金属,素材
5802,住友電気工業,1.0,非鉄・金属,素材
5803,フジクラ,1.0,非鉄・金属,素材
5831,しずおかフィナンシャルグループ,1.0,銀行,金融
6098,リクルートホールディングス,3.0,サービス,消費
6103,オークマ,0.4,機械,資本財・その他
6113,アマダ,1.0,機械,資本財・その他
6146,ディスコ,0.2,精密機器,技術
6178,日本郵政,1.0,サービス,消費
6273,ＳＭＣ,0.1,機械,資本財・その他
6301,小松製作所,1.0,機械,資本財・その他
6302,住友重機械工業,0.2,機械,資本財・その他
6305,日立建機,1.0,機械,資本財・その他
6326,クボタ,1.0,機械,資本財・その他
6361,荏原製作所,1.0,機械,資本財・その他
6367,ダイキン工業,1.0,機械,資本財・その他
6471,日本精工,1.0,機械,資本財・その他
6472,ＮＴＮ,1.0,機械,資本財・その他
6473,ジェイテクト,1.0,機械,資本財・その他
6479,ミネベアミツミ,1.0,電気機器,技術
6501,日立製作所,1.0,電気機器,技術
6503,三菱電機,1.0,電気機器,技術
6504,富士電機,0.2,電気機器,技術
6506,安川電機,1.0,電気機器,技術
6526,ソシオネクスト,1.0,電気機器,技術
6532,ベイカレント,0.5,サービス,消費
6594,ニデック,1.6,電気機器,技術
6645,オムロン,1.0,電気機器,技術
6674,ジーエス・ユアサコーポレーション,0.2,電気機器,技術
6701,日本電気,0.5,電気機器,技術
6702,富士通,1.0,電気機器,技術
6723,ルネサスエレクトロニクス,1.0,電気機器,技術
6724,セイコーエプソン,2.0,電気機器,技術
6752,パナソニックホールディングス,1.0,電気機器,技術
6753,シャープ,1.0,電気機器,技術
6758,ソニーグループ,5.0,電気機器,技術
6762,ＴＤＫ,15.0,電気機器,技術
6770,アルプスアルパイン,1.0,電気機器,技術
6841,横河電機,1.0,電気機器,技術
6857,アドバンテスト,8.0,電気機器,技術
6861,キーエンス,0.1,電気機器,技術
6902,デンソー,4.0,電気機器,技術
6920,レーザーテック,0.4,電気機器,技術
6952,カシオ計算機,1.0,電気機器,技術
6954,ファナック,5.0,電気機器,技術
6963,ローム,1.0,電気機器,技術
6971,京セラ,8.0,電気機器,技術
6976,太陽誘電,1.0,電気機器,技術
6981,村田製作所,2.4,電気機器,技術
6988,日東電工,5.0,化学,素材
7004,カナデビア,0.2,機械,資本財・その他
7011,三菱重工業,1.0,機械,資本財・その他
7012,川崎重工業,0.1,造船,資本財・その他
7013,ＩＨＩ,0.1,機械,資本財・その他
7186,コンコルディア・フィナンシャルグループ,1.0,銀行,金融
7201,日産自動車,1.0,自動車,技術
7202,いすゞ自動車,0.5,自動車,技術
7203,トヨタ自動車,5.0,自動車,技術
7205,日野自動車,1.0,自動車,技術
7211,三菱自動車工業,0.1,自動車,技術
7261,マツダ,0.2,自動車,技術
7267,本田技研工業,6.0,自動車,技術
7269,スズキ,4.0,自動車,技術
7270,ＳＵＢＡＲＵ,1.0,自動車,技術
7272,ヤマハ発動機,3.0,自動車,技術
7453,良品計画,1.0,小売業,消費
7731,ニコン,1.0,精密機器,技術
7733,オリンパス,4.0,精密機器,技術
7735,ＳＣＲＥＥＮホールディングス,0.4,電気機器,技術
7741,ＨＯＹＡ,0.5,精密機器,技術
7751,キヤノン,1.5,電気機器,技術
7752,リコー,1.0,電気機器,技術
7762,シチズン時計,1.0,精密機器,技術
7832,バンダイナムコホールディングス,3.0,その他製造,資本財・その他
7911,ＴＯＰＰＡＮホールディングス,0.5,その他製造,資本財・その他
7912,大日本印刷,1.0,その他製造,資本財・その他
7951,ヤマハ,3.0,その他製造,資本財・その他
7974,任天堂,1.0,サービス,消費
8001,伊藤忠商事,1.0,商社,素材
8002,丸紅,1.0,商社,素材
8015,豊田通商,3.0,商社,素材
8031,三井物産,2.0,商社,素材
8035,東京エレクトロン,3.0,電気機器,技術
8053,住友商事,1.0,商社,素材
8058,三菱商事,3.0,商社,素材
8233,高島屋,1.0,小売業,消費
8252,丸井グループ,1.0,小売業,消費
8253,クレディセゾン,1.0,その他金融,金融
8267,イオン,1.0,小売業,消費
8304,あおぞら銀行,0.1,銀行,金融
8306,三菱ＵＦＪフィナンシャル・グループ,1.0,銀行,金融
8308,りそなホールディングス,0.1,銀行,金融
8309,三井住友トラストグループ,0.2,銀行,金融
8316,三井住友フィナンシャルグループ,0.3,銀行,金融
8331,千葉銀行,1.0,銀行,金融
8354,ふくおかフィナンシャルグループ,0.2,銀行,金融
8411,みずほフィナンシャルグループ,0.1,銀行,金融
8591,オリックス,1.0,その他金融,金融
8601,大和証券グループ本社,1.0,証券,金融
8604,野村ホールディングス,1.0,証券,金融
8630,ＳＯＭＰＯホールディングス,0.6,保険,金融
8697,日本取引所グループ,2.0,その他金融,金融
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,0.9,保険,金融
8750,第一生命ホールディングス,0.4,保険,金融
8766,東京海上ホールディングス,1.5,保険,金融
8795,Ｔ＆Ｄホールディングス,0.2,保険,金融
8801,三井不動産,3.0,不動産,資本財・その他
8802,三菱地所,1.0,不動産,資本財・その他
8804,東京建物,0.5,不動産,資本財・その他
8830,住友不動産,1.0,不動産,資本財・その他
9001,東武鉄道,0.2,鉄道・バス,運輸・公共
9005,東急,0.5,鉄道・バス,運輸・公共
9007,小田急電鉄,0.5,鉄道・バス,運輸・公共
9008,京王電鉄,0.2,鉄道・バス,運輸・公共
9009,京成電鉄,1.5,鉄道・バス,運輸・公共
9020,東日本旅客鉄道,0.3,鉄道・バス,運輸・公共
9021,西日本旅客鉄道,0.2,鉄道・バス,運輸・公共
9022,東海旅客鉄道,0.5,鉄道・バス,運輸・公共
9064,ヤマトホールディングス,1.0,陸運,運輸・公共
9101,日本郵船,0.3,海運,運輸・公共
9104,商船三井,0.3,海運,運輸・公共
9107,川崎汽船,0.9,海運,運輸・公共
9147,ＮＩＰＰＯＮＥＸＰＲＥＳＳホールディングス,0.3,陸運,運輸・公共
9201,日本航空,1.0,空運,運輸・公共
9202,ＡＮＡホールディングス,0.1,空運,運輸・公共
9432,ＮＴＴ,10.0,通信,技術
9433,ＫＤＤＩ,12.0,通信,技術
9434,ソフトバンク,10.0,通信,技術
9501,東京電力ホールディングス,0.1,電力,運輸・公共
9502,中部電力,0.1,電力,運輸・公共
9503,関西電力,0.1,電力,運輸・公共
9531,東京瓦斯,0.2,ガス,運輸・公共
9532,大阪瓦斯,0.2,ガス,運輸・公共
9602,東宝,0.1,サービス,消費
9735,セコム,2.0,サービス,消費
9766,コナミグループ,1.0,サービス,消費
9843,ニトリホールディングス,0.5,小売業,消費
9983,ファーストリテイリング,2.4,小売業,消費
